appName,lastInstalledOn,description
node@14,2022-06-19,
mysql@8.0,2022-06-19,
git-extras,2022-06-19,
pure,2022-06-19,
trash,2022-06-21,
wget,2022-06-21,
fzf,2022-06-21,
youtube-dl,2022-06-19,
zsh,2022-06-21,
git,2022-06-21,
bat,2022-06-21,
jq,2022-06-21,
httpie,2022-06-19,
diff-so-fancy,2022-06-21,
awscli,2022-06-19,
ant,2022-06-19,
mkcert,2022-06-19,
htop,2022-06-19,
hyperfine,2022-06-19,
exa,2022-06-21,
pnpm,2022-06-19,
qpdf,2022-06-21,
aria2,2022-06-21,
python,2022-06-21,
1password/tap/1password-cli,2022-06-21,
