appName,lastInstalledOn,description
modern-csv,2022-06-19,
insomnia,2022-06-19,
tableplus,2022-06-19,
iterm2,2022-06-19,
dropbox,2022-06-19,
bartender,2022-06-21,
alfred,2022-06-21,
syncthing,2022-06-21,
google-drive,2022-06-21,
balenaetcher,2022-06-19,
sublime-text,2022-06-21,
rectangle,2022-06-21,
megasync,2022-06-19,
iina,2022-06-21,
tabula,2022-06-21,Extracting data from PDF files
transmit,2022-06-21,
visual-studio-code,2022-06-21,
brave-browser,2022-06-21,
sequel-pro,2022-06-19,
flux,2022-06-21,
the-unarchiver,2022-06-21,
appcleaner,2022-06-21,
numi,2022-06-21,
ticktick,2022-06-21,
simplenote,2022-06-21,
coteditor,2022-06-19,
google-chrome,2022-06-21,
postman,2022-06-19,
spotify,2022-06-19,
mutespotifyads,2022-06-19,
tower,2022-06-19,
keycastr,2022-06-19,
sublime-merge,2022-06-19,
diffmerge,2022-06-21,
imageoptim,2022-06-21,
obsidian,2022-06-21,
mongodb-compass,2022-06-21,
zoom,2022-06-19,
intellij-idea-ce,2022-06-19,
tripmode,2022-06-21,
1password,2022-06-21,
qlcolorcode,2022-06-21,
qlmarkdown,2022-06-21,
quicklook-json,2022-06-21,
qlimagesize,2022-06-21,
suspicious-package,2022-06-21,
apparency,2022-06-21,
quicklookase,2022-06-21,
qlvideo,2022-06-21,
discord,2022-06-19,
docker,2022-06-19,
bitwarden,2022-06-21,
firefox,2022-06-20,
fig,2022-06-20,
neovim,2022-06-24,
logitech-options,2022-06-21,
homebrew/cask-drivers/logitech-options,2022-06-21,
goodsync@10,2022-06-21,
telegram,2022-06-21,
cloudmounter,2022-07-22,
keyboardcleantool,2022-09-06,
standardnotes,2022-09-16,
calibre,2022-09-24,
hyperkey,2022-10-09,
HazeOver,2022-10-13,
goodsync,2022-10-19,
1password/tap/1password-cli,2022-06-21,
